RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31
394998,23,"Portland, OR",Msa,OR,460076.0,466484.0,472893.0,478981.0,480583.0,480583.0,477379.0,470938.0,462928.0,456519.0,453315.0,451713.0,453315.0,456519.0,462928.0,467766.0,471003.0,471035.0,469400.0,466180.0,461374.0,457721.0,454532.0,454532.0,457096.0,465107.0,471515.0,471019.0,471019.0,472621.0,483751.0,488397.0,493172.0,495660.0,503799.0,513123.0,520714.0,525982.0,535000.0,551666.0,573333.0,589667.0,594667.0,589333.0,581333.0,574667.0,572000.0,572000.0,578667.0
394458,24,"Charlotte, NC",Msa,NC,338133.0,338167.0,343000.0,349666.0,356300.0,358781.0,355764.0,349176.0,342028.0,335378.0,330983.0,327283.0,325617.0,328300.0,335067.0,343400.0,351700.0,356300.0,356300.0,352333.0,346967.0,344233.0,341567.0,342041.0,342774.0,346108.0,351000.0,352967.0,357592.0,362925.0,374125.0,379505.0,381383.0,377183.0,374345.0,371296.0,370963.0,372297.0,377700.0,387730.0,399227.0,406660.0,408993.0,405883.0,404217.0,406520.0,409267.0,408280.0,404647.0
395045,25,"Sacramento, CA",Msa,CA,462983.0,468667.0,476983.0,485817.0,491817.0,492333.0,487167.0,480500.0,472967.0,466300.0,459633.0,456333.0,458333.0,466333.0,481000.0,492665.0,504665.0,513332.0,521633.0,522967.0,517967.0,509666.0,503330.0,504996.0,511330.0,521000.0,527667.0,528000.0,528000.0,529543.0,539210.0,548210.0,559997.0,568330.0,576330.0,581330.0,588330.0,591824.0,588494.0,596494.0,608000.0,623000.0,625000.0,623000.0,621333.0,621333.0,624663.0,632993.0,641327.0
395055,26,"San Antonio, TX",Msa,TX,279966.0,280000.0,283000.0,288657.0,295085.0,298418.0,297761.0,293500.0,288467.0,283467.0,281444.0,280811.0,280811.0,280633.0,281633.0,284967.0,290000.0,293167.0,293133.0,289800.0,286600.0,283297.0,281297.0,278993.0,278497.0,278830.0,282500.0,286167.0,290167.0,293800.0,297300.0,299933.0,299633.0,297967.0,294667.0,291333.0,289633.0,291300.0,295056.0,301056.0,306223.0,315966.0,328663.0,341381.0,346881.0,346786.0,343735.0,343402.0,345133.0
394943,27,"Orlando, FL",Msa,FL,299900.0,302933.0,309300.0,317667.0,323000.0,325000.0,324967.0,323267.0,319933.0,314933.0,308300.0,303267.0,299933.0,299933.0,303463.0,310163.0,318497.0,323333.0,325000.0,325000.0,325434.0,325434.0,325434.0,325000.0,324967.0,326600.0,328567.0,325597.0,322297.0,320659.0,325329.0,328663.0,330867.0,332501.0,332831.0,331963.0,329327.0,328355.0,330322.0,336958.0,344725.0,356092.0,366792.0,378000.0,384633.0,391300.0,395800.0,399133.0,402800.0
394466,28,"Cincinnati, OH",Msa,OH,218300.0,219967.0,231600.0,248267.0,261600.0,267633.0,265967.0,259300.0,251633.0,244967.0,241333.0,236300.0,232967.0,236633.0,249967.0,266300.0,279600.0,285967.0,287967.0,284333.0,278667.0,272000.0,265667.0,261333.0,261300.0,269633.0,283267.0,296300.0,309633.0,322967.0,333300.0,334633.0,327688.0,320988.0,313768.0,312077.0,313107.0,321439.0,332442.0,346445.0,360800.0,366767.0,363100.0,350459.0,339825.0,334125.0,333267.0,335665.0,344998.0
394475,29,"Cleveland, OH",Msa,OH,161567.0,161567.0,164900.0,171267.0,176267.0,181403.0,183403.0,183403.0,181600.0,179867.0,178233.0,176567.0,174933.0,176567.0,179932.0,185402.0,191936.0,196904.0,199467.0,196267.0,192933.0,188267.0,184933.0,181600.0,179900.0,180267.0,185300.0,191667.0,201300.0,209600.0,218267.0,221133.0,214467.0,206100.0,196600.0,193133.0,192500.0,200833.0,214333.0,230000.0,238330.0,238297.0,231597.0,221600.0,211633.0,201667.0,198000.0,196000.0,192667.0
394735,30,"Kansas City, MO",Msa,MO,254863.0,259967.0,269633.0,274633.0,277333.0,276000.0,275167.0,272467.0,272967.0,280467.0,287133.0,293300.0,296600.0,306633.0,319966.0,331333.0,337966.0,336300.0,329967.0,319967.0,312967.0,308267.0,304967.0,301967.0,306333.0,316597.0,332930.0,342930.0,352667.0,359633.0,364950.0,361617.0,353317.0,345100.0,341750.0,340083.0,343283.0,354967.0,371300.0,385633.0,393700.0,393867.0,387900.0,374800.0,364933.0,361600.0,366633.0,379167.0,397483.0
394775,31,"Las Vegas, NV",Msa,NV,290629.0,292300.0,295300.0,306300.0,324333.0,341333.0,349333.0,347967.0,341300.0,333297.0,324963.0,321597.0,318233.0,314933.0,312300.0,312833.0,316167.0,320497.0,323330.0,324297.0,322600.0,320900.0,319933.0,319967.0,321465.0,325799.0,334132.0,335667.0,333300.0,329933.0,334900.0,341267.0,344633.0,346333.0,347296.0,347296.0,345963.0,345833.0,355817.0,373812.0,397979.0,416329.0,426667.0,435000.0,443333.0,455000.0,465000.0,475663.0,487297.0
394492,32,"Columbus, OH",Msa,OH,254267.0,268633.0,285300.0,302630.0,311630.0,316997.0,315300.0,306967.0,294933.0,283267.0,274767.0,268133.0,264800.0,269967.0,286800.0,306800.0,320133.0,325933.0,325967.0,320300.0,309330.0,295330.0,285963.0,280300.0,282600.0,292300.0,306267.0,316267.0,326567.0,336567.0,344933.0,341600.0,329967.0,323267.0,321630.0,325627.0,326570.0,331237.0,338873.0,347945.0,353282.0,353315.0,351633.0,348300.0,344633.0,343967.0,348933.0,357597.0,364630.0
